code,tier,status,batch_date
PATIENCE-3F99-21A5-46D3,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-79FF-AEC5-E594,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-A461-C8DE-8E97,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-E7A0-F102-86AA,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-44F8-DDE6-D8A9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-B03F-AF99-ED87,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-46CA-29E5-FB95,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-614C-CCCE-A1C1,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-5CD9-866E-354C,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-E3E8-42A9-315E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0BC4-EB1D-F299,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-B674-D2AC-064C,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-A546-B847-B621,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-AA77-5B83-6F06,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9C9A-8394-232A,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-E3F4-9620-6264,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-BE43-2296-2E4D,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-8577-0D9B-7F29,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-56DA-36E4-3E75,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-40BA-BE98-AD8C,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-7D11-D07B-3B0B,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0E23-B73E-7A66,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-8605-7186-84CF,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-A21F-155E-80BA,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-C764-EF8B-AF7B,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0077-F9CF-1D16,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-0977-B0AC-02D9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9BE2-37FA-3777,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-4F03-E4D0-2C99,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9088-3D8E-EDBE,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-8F6A-D3C6-A459,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-FCA5-5AD6-EE9A,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-64AA-161B-22D2,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-C00C-4051-8161,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D03C-E3C2-D9DF,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-D669-9714-B00F,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-49C0-C492-6F7F,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-CDA9-0D8D-D6C9,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-7BFF-8B1B-B85E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-6563-D477-2124,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-25B3-0304-60DB,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F522-7A18-760E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9977-0972-52EE,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-1250-455D-015F,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-6538-15F8-C83C,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-6140-E154-7344,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-147A-0E74-6E8E,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F45B-BF48-1DBA,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F4BA-8228-AF57,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-3C06-BF5F-3250,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-8FDB-E5CC-7131,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-9629-E456-CB83,LIFETIME,AVAILABLE,2026-06-24
PATIENCE-F286-9545-0649,LIFETIME,AVAILABLE,2026-06-24
